GeneName,log2FoldChange,padj
A1S_3253,2.1938756894944076,1.7354964224602993e-101
A1S_2271,1.8117742154647412,2.082888367876523e-100
A1S_3865,1.785853239547452,5.850096729960514e-55
A1S_3864,1.5664771385794372,1.094088231216551e-70
A1S_1032,1.5496602733755431,9.49301451103831e-21
A1S_3492,1.517597473035368,7.617071150213878e-24
A1S_0032,1.4912981056935588,8.12304755850934e-103
A1S_2885,1.462498240657789,1.482542262187119e-108
A1S_0946,1.4389750862790196,0.014448205740710207
A1S_3761,1.424755663260285,0.022603488528785267
A1S_2889,1.3983616682072728,4.478029703600796e-100
A1S_3791,1.3822566926433397,9.446166524071982e-91
A1S_2074,1.3490620753326312,0.00024051585907782072
A1S_3418,1.3311653532562109,1.842802990591243e-50
A1S_1894,1.3234226685241892,2.7062302367839906e-05
A1S_0664,1.3170249210184635,0.0004389492115803954
A1S_2222,1.2823999408984803,8.389642416805555e-07
A1S_0010,1.2529617832609388,3.7332564328363785e-23
A1S_2157,1.2151357541885173,3.399869946317124e-76
A1S_3493,1.1971375958125532,4.499344078760755e-17
A1S_1070,1.163600632091687,8.251628159124436e-08
A1S_3127,1.1363324346840162,9.532835804293524e-83
A1S_r02,1.1357876016676436,0.04691145910973068
A1S_0537,1.112540608816604,3.119502103120164e-22
A1S_3780,1.094522951429765,1.2098213824833974e-06
A1S_2272,1.0898718814357904,4.465170988231785e-13
A1S_1577,1.0877488929334762,7.510393675998669e-27
A1S_0033,1.0767185407200441,9.067217471893698e-36
A1S_3661,1.0517297528178453,0.00044581804177773243
A1S_3784,1.0509526713787671,1.539811482622689e-05
A1S_1745,1.0369971756719938,0.008063367284929044
A1S_2729,1.0293466591310407,1.758253768938313e-68
A1S_2325,1.0261915796929455,6.16742583472776e-39
A1S_2455,1.0118042281373465,4.273835842754106e-42
A1S_0536,1.0110230123566135,9.043225145034601e-41
A1S_1199,-1.0396047161558892,5.605499999948877e-19
A1S_3483,-1.0614576695303048,0.00013126628472106834
A1S_1445,-1.0628032666870144,2.8883324459828303e-22
A1S_2851,-1.066991184804722,2.076047768172615e-08
A1S_1397,-1.0676620948036974,3.4257916781302556e-07
A1S_3880,-1.08201166083058,1.9287836437903257e-13
A1S_3231,-1.0865863770234077,4.224215731817533e-69
A1S_1219,-1.0909677461957832,0.01064399179929561
A1S_3540,-1.1034458979855972,8.162479676554685e-28
A1S_3813,-1.1202115744170955,9.650842437625708e-07
A1S_2533,-1.1226517513228536,1.0482453720766677e-06
A1S_2534,-1.1264794374319993,3.0775236193535714e-05
A1S_3911,-1.126649060842278,0.009136484499997757
A1S_1218,-1.139294198120721,0.032745024660253925
A1S_3449,-1.145171983804531,3.596199496812189e-55
