GeneName,log2FoldChange,padj
M8Y62_RS18970,5.978780967065884,1.823830010358895e-61
treC,5.8344323510376785,5.789199473607739e-301
M8Y62_RS10750,5.831488500616469,1.2169441785501925e-58
M8Y62_RS10760,5.788599945489098,3.5314567494150216e-121
narJ,5.555573325461926,4.135578663484873e-23
fruB,5.398413032995006,2.2504938586374105e-79
treB,5.384683550748031,2.326345417663841e-231
yhcN-B,5.319585609076125,2.5515835345624874e-88
nikB,5.223813126700843,1.1072144905853537e-16
dsdX,5.1554064697193125,4.745075549486995e-30
nirB,4.998673660460143,2.4029769365491188e-60
M8Y62_RS21390,4.988800360867469,1.0428364155415423e-29
nikA,4.784557693399952,9.24199503605583e-42
narH,4.676806575863239,8.037241227433076e-105
M8Y62_RS12405,4.6266146621990405,3.5626537215290017e-34
dsdA,4.5775839665321305,7.43158805386727e-37
marA,4.5620223463804805,1.9756329138793716e-30
malM,4.494571738609934,1.7289808671926975e-50
entE,4.4590334872031665,1.0562366985207893e-12
iucC,4.426372594564323,5.320250527700878e-36
M8Y62_RS04815,4.379057805834377,0.0072303038452481
kpnF,4.339583701827006,5.123909681244703e-64
fdxH,4.3205088358691315,1.1190179094916387e-13
fruA,4.303481604974826,5.667782987822114e-65
nirD,4.285334451419207,1.2807247778186769e-08
M8Y62_RS02790,4.271056071937373,2.0805099384621265e-25
M8Y62_RS04850,4.200668899977299,4.2785367147862917e-44
iucB,4.195463402228551,4.52874884670865e-21
fruK,4.191979722896764,3.1047732507222617e-51
M8Y62_RS11280,4.15765370038094,1.525275947448411e-22
M8Y62_RS03205,4.084094272223308,0.011187716223316775
garL,4.082342759179289,3.619159810250911e-58
ybiJ,4.079769385432857,4.281684632832389e-144
iucD,4.075732049185311,1.180876769317095e-22
M8Y62_RS01335,4.030504699522444,2.3396735883475908e-29
dhaM,3.9935802851305526,4.2315427994410466e-74
malF,3.9881634671287816,3.497398635197731e-45
M8Y62_RS13565,3.945681096004036,0.016102162155249535
otnK,3.91234662447735,2.3628060936573167e-06
M8Y62_RS23835,3.877675357027112,1.721617068498876e-101
modC,3.8644519118994256,1.4105669060379594e-24
mrkB,3.8479566165408774,5.963375614207251e-41
M8Y62_RS04190,3.8244648167899,7.20708450301693e-87
iucA,3.8129900149790217,1.4638646305349787e-45
M8Y62_RS11275,3.787709338879711,6.491852798350894e-26
entC,3.7794998782391698,1.463991574338127e-11
hypD,3.75265435458499,1.4667047741658858e-19
M8Y62_RS22330,3.748080233452078,0.0029833699797884744
menH,3.7046762738525856,4.533132797765025e-43
fdnG,3.6863051775770175,2.595060870668863e-38
