GeneName,log2FC
treC,6.761109450661147
yhcN-B,6.355697933177212
treB,6.317333425792392
M8Y62_RS10760,6.15737325399028
M8Y62_RS18970,6.117824429189396
fruB,6.069325317086856
M8Y62_RS10750,5.878708576288411
M8Y62_RS21390,5.791804595778351
dsdX,5.667066141749058
dsdA,5.438213952562139
narH,5.432213551087142
kpnF,5.322585172971787
nikA,5.304634972261521
narJ,5.304597108982331
malM,5.288210977196912
fruA,5.212954794178625
marA,5.203254207816068
ybiJ,5.14416587047724
fruK,5.125137890488818
nirB,5.108212354009859
dhaM,4.959218116406977
M8Y62_RS23835,4.933021826490341
M8Y62_RS04850,4.927817577757346
garL,4.913837670965435
M8Y62_RS12405,4.894870396882141
M8Y62_RS04190,4.886421068264243
modC,4.84991783209305
pflB,-4.822405441074731
nikB,4.7281667743590665
malF,4.704753211803106
mrkB,4.68953003862894
M8Y62_RS02790,4.5668151540108965
marR,4.562638984391107
M8Y62_RS00380,4.544430725539084
M8Y62_RS01335,4.470121252031329
menH,4.44862844436259
M8Y62_RS11275,4.40196759281248
M8Y62_RS03140,4.383439653479659
bglF,4.365622111495854
M8Y62_RS20115,4.357038085368051
iucC,4.334489970936393
nirD,4.320094104758203
M8Y62_RS11280,4.287735385798557
iucA,4.268464119617498
selA,4.252927734365058
mrkC,4.2440128720245065
hypE,4.237409232552709
narI,4.210083922276519
M8Y62_RS04900,4.207521788099965
iucB,4.1862365145506715
