GeneName,log2FoldChange,padj
ampC,5.6392612152843435,1.2216734081790953e-89
PA4111,3.060820072074653,6.327626287400178e-39
PA4280.5,2.925256232109008,1.6563289794658563e-05
PA0668.1,2.886123495308882,1.9005547696381542e-05
PA4690.5,2.7772039468006775,2.5353765613862102e-05
PA5369.5,2.770505384175475,2.422950414374091e-05
hcp1,2.324969174171332,4.465887411013749e-30
PA4280.2,2.2738549466257476,8.635302301668504e-05
PA4690.2,2.2692664252138988,7.47921794245635e-05
PA5369.2,2.268427820489626,7.508513827627124e-05
PA0668.4,2.2372428542191347,6.620110285309483e-05
PA0126,1.951946737132582,2.9620885904665475e-27
clpV1,1.798420971974377,4.6837985774422844e-18
PA0466,1.7907014172012725,3.081953348504798e-13
PA0083,1.7207408466312486,6.152352413103405e-11
vgrG1,1.7147566402206744,1.537963212970733e-17
PA0050,1.7098452340320167,6.346252432881102e-09
PA0084,1.7007759637335318,2.603818884515806e-11
pchG,1.685728319219677,2.458674870244301e-10
PA0277,1.6409210894617017,2.4907420926810393e-16
PA0070,1.6189518497078663,5.707839301344824e-10
PA0089,1.568972678240364,3.949554284645191e-17
PA0563,1.5574089992151117,8.738683531522295e-12
PA0086,1.5525365451332065,9.17723913841166e-13
rplX,1.5485720230315296,0.0014446439076358536
PA4223,1.531048170985599,9.228915711225495e-12
PA4222,1.5192206197817628,4.504745516944208e-13
rplN,1.5047768495726406,0.0018510719949016334
creD,1.4753106157460862,1.368570544309244e-07
PA1845,1.448630064973421,9.874653610889011e-45
rpsN,1.4481130043864896,0.0021457551883239485
PA1844,1.4466943759517195,1.876041786623772e-21
rpsQ,1.44160881204803,0.002833105145180452
icmF1,1.4334251613739268,1.4734351265628024e-14
PA0088,1.425429605675926,2.2723873623383973e-13
PA1069,1.420539873073698,9.814010099477411e-51
rplL,1.4147292269911795,0.00277624688988061
rplP,1.4060115050000213,0.00278614202321731
pchF,1.4056179049102648,1.8519246594147417e-08
rpmC,1.3963026639322675,0.0023320982516912307
rplV,1.3904542586036703,0.0029125491672982035
pppA,1.385200130516496,6.193729143143767e-17
PA2684,1.3699675193758438,1.5681309540133138e-14
PA4489,1.3271614405998733,1.256331012015552e-41
PA0087,1.3216002804527385,5.110864049340716e-12
rplE,1.3116052937886062,0.004174224826621632
rplJ,1.3075090683597264,0.006434139560951671
PA2540,1.301278586126651,5.055553554621662e-34
rplB,1.2975188370593715,0.0034190895493350386
PA4933,1.2893723716453436,0.007257775781515329
