ID	gene_name	Especie	KO	LFC	DE	node_type	top_pathway
NP_251667.1	murB	pseu	K00075	0.1590177000187314	yes	gene	Peptidoglycan biosynthesis
YP_001085079.1	murB	aci	K00075	-0.218441664741432	yes	gene	Peptidoglycan biosynthesis
WP_004873277.1	murB	kleb	K00075	1.090210366662431	yes	gene	Peptidoglycan biosynthesis
NP_249041.1	folA	pseu	K00287	-0.11927784812221631	yes	gene	Folate biosynthesis
YP_001083514.1	A1S_0457	aci	K00287	-0.07899068137071019	yes	gene	Folate biosynthesis
WP_002888320.1	folA	kleb	K00287	2.0560412552538683	yes	gene	Folate biosynthesis
NP_248708.1	fmt	pseu	K00604	0.07640738234511701	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001086447.1	A1S_3456	aci	K00604	-0.21958793234454532	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004150007.1	fmt	kleb	K00604	1.7505518568022485	yes	gene	Aminoacyl-tRNA biosynthesis
NP_252334.1	lpxA	pseu	K00677	0.07740010789133578	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
YP_001084994.1	A1S_1965	aci	K00677	-0.445166704526077	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
WP_004178647.1	lpxA	kleb	K00677	1.280181111558302	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
NP_253438.1	folP	pseu	K00796	0.40805867534347584	yes	gene	Folate biosynthesis
YP_001085695.1	A1S_2680	aci	K00796	0.04059584026499863	yes	gene	Folate biosynthesis
WP_004149935.1	folP	kleb	K00796	1.076354902253387	yes	gene	Folate biosynthesis
NP_252342.1	uppS	pseu	K00806	0.09271712815506739	yes	gene	Peptidoglycan biosynthesis
YP_001085002.1	A1S_1973	aci	K00806	-0.1101318103231872	yes	gene	Peptidoglycan biosynthesis
WP_002889316.1	ispU	kleb	K00806	1.4161255804117099	yes	gene	Peptidoglycan biosynthesis
NP_249274.1	PA0583	pseu	K00950	-0.2734510453636787	yes	gene	Folate biosynthesis
NP_253416.1	folK	pseu	K00950	-0.5142856243909719	yes	gene	Folate biosynthesis
YP_001083637.1	A1S_0584	aci	K00950	-0.01798679898914557	yes	gene	Folate biosynthesis
WP_021467518.1	folK	kleb	K00950	2.9146936076022065	yes	gene	Folate biosynthesis
NP_253105.1	mraY	pseu	K01000	0.7033264924143747	yes	gene	Peptidoglycan biosynthesis
YP_001086195.1	A1S_3200	aci	K01000	-0.018410789606665645	yes	gene	Peptidoglycan biosynthesis
