source	target	Especie	string_interaction_score
A1S_0014	A1S_2955	aci	0.4
A1S_0014	A1S_2323	aci	0.404
A1S_0014	A1S_2720	aci	0.452
A1S_0014	A1S_3075	aci	0.471
A1S_0014	A1S_0592	aci	0.48
A1S_0014	A1S_0541	aci	0.565
A1S_0014	A1S_2108	aci	0.576
A1S_0014	A1S_0542	aci	0.623
A1S_0014	A1S_2819	aci	0.666
A1S_0246	A1S_2315	aci	0.401
A1S_0246	A1S_3197	aci	0.43
A1S_0246	A1S_3196	aci	0.608
A1S_0246	A1S_2284	aci	0.68
A1S_0246	A1S_0989	aci	0.701
A1S_0246	A1S_3201	aci	0.824
A1S_0246	A1S_3200	aci	0.917
A1S_0246	A1S_1020	aci	0.978
A1S_0255	A1S_2818	aci	0.657
A1S_0255	A1S_2619	aci	0.742
A1S_0255	A1S_1751	aci	0.822
A1S_0255	A1S_1752	aci	0.822
A1S_0255	A1S_2817	aci	0.843
A1S_0255	A1S_2736	aci	0.955
A1S_0255	A1S_2660	aci	0.957
A1S_0255	A1S_2735	aci	0.972
A1S_0285	A1S_2955	aci	0.707
A1S_0285	A1S_2108	aci	0.899
A1S_0285	A1S_2731	aci	0.997
A1S_0285	A1S_0828	aci	0.997
A1S_0285	A1S_2323	aci	0.999
A1S_0285	A1S_0867	aci	0.999
A1S_0285	A1S_3073	aci	0.999
A1S_0285	A1S_3075	aci	0.999
A1S_0285	A1S_3058	aci	0.999
A1S_0457	A1S_2680	aci	0.47
A1S_0541	A1S_2323	aci	0.436
A1S_0541	A1S_3058	aci	0.547
A1S_0541	A1S_0592	aci	0.547
A1S_0541	A1S_2108	aci	0.902
A1S_0541	A1S_2819	aci	0.911
A1S_0541	A1S_0542	aci	0.985
A1S_0542	A1S_2323	aci	0.436
A1S_0542	A1S_3058	aci	0.547
A1S_0542	A1S_0592	aci	0.609
A1S_0542	A1S_2108	aci	0.902
A1S_0542	A1S_2819	aci	0.926
A1S_0584	A1S_0689	aci	0.618
A1S_0584	A1S_2366	aci	0.994
A1S_0584	A1S_2680	aci	0.998
A1S_0592	A1S_1566	aci	0.452
A1S_0592	A1S_2819	aci	0.613
A1S_0592	A1S_0867	aci	0.869
A1S_0592	A1S_2731	aci	0.894
A1S_0592	A1S_2323	aci	0.919
A1S_0592	A1S_3058	aci	0.923
A1S_0689	A1S_2680	aci	0.629
A1S_0828	A1S_3073	aci	0.997
A1S_0828	A1S_3075	aci	0.998
A1S_0828	A1S_3058	aci	0.998
A1S_0828	A1S_0867	aci	0.998
A1S_0828	A1S_2323	aci	0.999
A1S_0828	A1S_2731	aci	0.999
A1S_0867	A1S_2955	aci	0.681
A1S_0867	A1S_2108	aci	0.88
A1S_0867	A1S_3075	aci	0.999
A1S_0867	A1S_3073	aci	0.999
A1S_0867	A1S_3058	aci	0.999
A1S_0867	A1S_2323	aci	0.999
A1S_0867	A1S_2731	aci	0.999
A1S_0989	A1S_2768	aci	0.447
A1S_0989	A1S_3200	aci	0.555
A1S_0989	A1S_2479	aci	0.628
A1S_0989	A1S_2435	aci	0.628
A1S_0989	A1S_3196	aci	0.631
A1S_0989	A1S_2315	aci	0.663
A1S_0989	A1S_1020	aci	0.926
A1S_0989	A1S_3197	aci	0.984
A1S_1020	A1S_2435	aci	0.42
A1S_1020	A1S_3200	aci	0.49
A1S_1020	A1S_3197	aci	0.699
A1S_1020	A1S_3196	aci	0.74
A1S_1020	A1S_2284	aci	0.761
A1S_1020	A1S_2315	aci	0.992
A1S_1566	A1S_2541	aci	0.937
A1S_1566	A1S_2542	aci	0.941
A1S_1566	A1S_2540	aci	0.964
A1S_1566	A1S_2366	aci	0.977
A1S_1751	A1S_2735	aci	0.631
A1S_1751	A1S_2619	aci	0.708
A1S_1751	A1S_2818	aci	0.765
A1S_1751	A1S_2736	aci	0.938
A1S_1751	A1S_2660	aci	0.938
A1S_1751	A1S_1752	aci	0.985
A1S_1752	A1S_2735	aci	0.622
A1S_1752	A1S_2619	aci	0.708
A1S_1752	A1S_2818	aci	0.762
A1S_1752	A1S_2736	aci	0.938
A1S_1752	A1S_2660	aci	0.938
A1S_1965	A1S_1973	aci	0.861
A1S_1973	A1S_3200	aci	0.428
A1S_1973	A1S_2819	aci	0.737
A1S_1973	A1S_2768	aci	0.972
A1S_1995	A1S_2001	aci	0.987
A1S_1995	A1S_1997	aci	0.992
A1S_1997	A1S_2001	aci	0.849
A1S_2108	A1S_2323	aci	0.872
A1S_2108	A1S_3075	aci	0.894
A1S_2108	A1S_3058	aci	0.903
A1S_2108	A1S_3073	aci	0.907
A1S_2108	A1S_2819	aci	0.931
A1S_2284	A1S_2435	aci	0.465
A1S_2284	A1S_2315	aci	0.708
A1S_2284	A1S_3196	aci	0.83
A1S_2284	A1S_3197	aci	0.831
A1S_2315	A1S_2435	aci	0.414
A1S_2315	A1S_2768	aci	0.497
A1S_2315	A1S_3201	aci	0.509
A1S_2315	A1S_3197	aci	0.558
A1S_2315	A1S_3196	aci	0.651
A1S_2315	A1S_3200	aci	0.678
A1S_2323	A1S_2955	aci	0.671
A1S_2323	A1S_2731	aci	0.999
A1S_2323	A1S_3073	aci	0.999
A1S_2323	A1S_3075	aci	0.999
A1S_2323	A1S_3058	aci	0.999
A1S_2366	A1S_2541	aci	0.459
A1S_2366	A1S_2540	aci	0.459
A1S_2366	A1S_2680	aci	0.966
A1S_2435	A1S_3196	aci	0.715
A1S_2435	A1S_3197	aci	0.715
A1S_2435	A1S_2479	aci	0.948
A1S_2479	A1S_3196	aci	0.73
A1S_2479	A1S_3197	aci	0.73
A1S_2540	A1S_2541	aci	0.976
A1S_2540	A1S_2542	aci	0.994
A1S_2541	A1S_2542	aci	0.985
A1S_2619	A1S_2736	aci	0.438
A1S_2619	A1S_2660	aci	0.438
A1S_2619	A1S_2818	aci	0.503
A1S_2619	A1S_2735	aci	0.708
A1S_2619	A1S_2817	aci	0.816
A1S_2660	A1S_2817	aci	0.88
A1S_2660	A1S_2736	aci	0.931
A1S_2660	A1S_2735	aci	0.994
A1S_2731	A1S_2955	aci	0.815
A1S_2731	A1S_3073	aci	0.999
A1S_2731	A1S_3075	aci	0.999
A1S_2731	A1S_3058	aci	0.999
A1S_2735	A1S_2818	aci	0.801
A1S_2735	A1S_2736	aci	0.999
A1S_2736	A1S_2817	aci	0.856
A1S_2768	A1S_3201	aci	0.677
A1S_2768	A1S_3200	aci	0.728
