source	target	Especie	string_interaction_score
folA	murE	kleb	0.671
folA	fmt	kleb	0.78
folA	folP	kleb	0.814
folA	yfbG	kleb	0.815
folA	ydgB	kleb	0.825
ftsI	amiC	kleb	0.44
ftsI	mrcA	kleb	0.587
ftsI	mtgA	kleb	0.677
ftsI	dacC	kleb	0.718
ftsI	dacB	kleb	0.723
ftsI	mrdA	kleb	0.823
ftsI	mraY	kleb	0.91
ftsI	murG	kleb	0.943
ftsI	mrdB	kleb	0.944
ftsI	murD	kleb	0.953
ftsI	mrcB	kleb	0.955
ftsI	murF	kleb	0.958
ftsI	murE	kleb	0.978
ftsI	ftsW	kleb	0.992
murE	rplI	kleb	0.401
murE	mtgA	kleb	0.412
murE	mrcB	kleb	0.422
murE	pheT	kleb	0.563
murE	mrdB	kleb	0.685
murE	folP	kleb	0.719
murE	mrdA	kleb	0.736
murE	ftsW	kleb	0.954
murE	mraY	kleb	0.99
murE	murD	kleb	0.994
murE	murG	kleb	0.996
murE	murF	kleb	0.999
murF	rpsU	kleb	0.406
murF	mrcA	kleb	0.426
murF	pheT	kleb	0.45
murF	mtgA	kleb	0.466
murF	rpsF	kleb	0.5
murF	rplI	kleb	0.515
murF	mrcB	kleb	0.532
murF	mrdA	kleb	0.709
murF	mrdB	kleb	0.854
murF	ftsW	kleb	0.981
murF	murD	kleb	0.992
murF	mraY	kleb	0.995
murF	murG	kleb	0.997
mraY	mrcA	kleb	0.4
mraY	mrcB	kleb	0.411
mraY	mtgA	kleb	0.437
mraY	metG	kleb	0.481
mraY	lpxA	kleb	0.558
mraY	mrdB	kleb	0.784
mraY	ftsW	kleb	0.981
mraY	murD	kleb	0.982
mraY	murG	kleb	0.993
murD	rpsB	kleb	0.447
murD	mtgA	kleb	0.448
murD	rpsF	kleb	0.448
murD	rplI	kleb	0.452
murD	mrcB	kleb	0.503
murD	pheT	kleb	0.642
murD	mrdA	kleb	0.649
murD	ybaX	kleb	0.687
murD	mrdB	kleb	0.89
murD	ftsW	kleb	0.983
murD	murG	kleb	0.998
ftsW	mtgA	kleb	0.516
ftsW	mrdB	kleb	0.517
ftsW	mrcA	kleb	0.542
ftsW	mrcB	kleb	0.753
ftsW	mrdA	kleb	0.935
ftsW	murG	kleb	0.991
murG	hisS	kleb	0.406
murG	rplU	kleb	0.428
murG	rpsC	kleb	0.444
murG	yfbG	kleb	0.456
murG	rplI	kleb	0.471
murG	rpsF	kleb	0.493
murG	mrcA	kleb	0.497
murG	pheT	kleb	0.505
murG	mtgA	kleb	0.554
murG	mrcB	kleb	0.562
murG	mrdA	kleb	0.625
murG	mrdB	kleb	0.92
folK	ygcF	kleb	0.41
folK	phoA	kleb	0.667
folK	pabB	kleb	0.806
folK	ribA	kleb	0.849
folK	folX	kleb	0.892
folK	folE	kleb	0.995
folK	folP	kleb	0.998
mrcB	mtgA	kleb	0.422
mrcB	phoQ	kleb	0.465
mrcB	amiC	kleb	0.504
mrcB	dacC	kleb	0.509
mrcB	mrdB	kleb	0.786
mrcB	mrcA	kleb	0.869
mrcB	mrdA	kleb	0.926
degP	rpsL	kleb	0.412
degP	rplY	kleb	0.413
degP	rplU	kleb	0.431
degP	rpsG	kleb	0.443
degP	alaS	kleb	0.445
degP	rpsF	kleb	0.447
degP	rpsB	kleb	0.449
degP	rpsP	kleb	0.468
degP	rplI	kleb	0.528
rpsB	fmt	kleb	0.406
rpsB	ppiA	kleb	0.425
rpsB	tyrS	kleb	0.483
rpsB	argS	kleb	0.49
rpsB	aspS	kleb	0.536
rpsB	lpxA	kleb	0.554
rpsB	leuS	kleb	0.596
rpsB	pheS	kleb	0.631
rpsB	lysS	kleb	0.804
rpsB	thrS	kleb	0.825
rpsB	metG	kleb	0.829
rpsB	yfbG	kleb	0.866
rpsB	glnS	kleb	0.89
rpsB	pheT	kleb	0.93
rpsB	rpmF	kleb	0.987
rpsB	rpsU	kleb	0.987
rpsB	rpmD	kleb	0.988
rpsB	rpmC	kleb	0.989
rpsB	rplU	kleb	0.989
rpsB	rplI	kleb	0.989
rpsB	rplW	kleb	0.99
rpsB	rplY	kleb	0.99
rpsB	rplX	kleb	0.991
rpsB	rplQ	kleb	0.991
rpsB	rplR	kleb	0.992
rpsB	rpsR	kleb	0.992
rpsB	rplV	kleb	0.993
rpsB	rplB	kleb	0.994
rpsB	rpmA	kleb	0.994
rpsB	rplC	kleb	0.995
rpsB	rplF	kleb	0.996
rpsB	rplS	kleb	0.996
rpsB	rplP	kleb	0.997
rpsB	rplE	kleb	0.997
rpsB	rplN	kleb	0.997
rpsB	rplD	kleb	0.997
rpsB	rpsF	kleb	0.998
rpsB	rpsN	kleb	0.998
rpsB	rpsP	kleb	0.999
rpsB	rpsG	kleb	0.999
rpsB	rpsH	kleb	0.999
rpsB	rpsQ	kleb	0.999
rpsB	rpsL	kleb	0.999
rpsB	rpsK	kleb	0.999
rpsB	rpsC	kleb	0.999
rpsB	rpsM	kleb	0.999
rpsB	rpsJ	kleb	0.999
rpsB	rpsS	kleb	0.999
lpxA	rpsF	kleb	0.425
lpxA	phoQ	kleb	0.478
lpxA	yfbG	kleb	0.484
lpxA	arnT	kleb	0.519
proS	rplW	kleb	0.45
proS	hisS	kleb	0.569
proS	alaS	kleb	0.652
proS	tyrS	kleb	0.686
proS	pheS	kleb	0.691
proS	thrS	kleb	0.709
proS	aspS	kleb	0.791
proS	lysS	kleb	0.832
proS	pheT	kleb	0.852
proS	glnS	kleb	0.901
proS	leuS	kleb	0.931
proS	metG	kleb	0.953
proS	argS	kleb	0.954
phoA	folE	kleb	0.666
phoA	folP	kleb	0.69
phoA	folX	kleb	0.706
ybaX	folE	kleb	0.524
ybaX	yqcD	kleb	0.983
ybaX	ygcF	kleb	0.992
acrB	tolC	kleb	0.973
acrB	acrA	kleb	0.999
acrA	tolC	kleb	0.998
lysS	rplN	kleb	0.412
lysS	tyrS	kleb	0.418
lysS	rplE	kleb	0.447
lysS	rpmF	kleb	0.466
lysS	rplX	kleb	0.476
lysS	rpsM	kleb	0.483
lysS	rplV	kleb	0.514
lysS	pheS	kleb	0.515
lysS	alaS	kleb	0.518
lysS	rpsQ	kleb	0.528
lysS	rplW	kleb	0.543
lysS	rplD	kleb	0.561
lysS	hisS	kleb	0.568
lysS	rpsS	kleb	0.593
lysS	rplC	kleb	0.606
lysS	rplR	kleb	0.609
lysS	rplB	kleb	0.611
lysS	rpsK	kleb	0.62
lysS	rpsJ	kleb	0.628
lysS	rplF	kleb	0.63
lysS	thrS	kleb	0.634
lysS	rplU	kleb	0.641
lysS	aspS	kleb	0.644
lysS	rpsC	kleb	0.653
lysS	rpsG	kleb	0.678
lysS	rplY	kleb	0.688
lysS	rpmD	kleb	0.704
lysS	rpsL	kleb	0.714
lysS	pheT	kleb	0.753
lysS	leuS	kleb	0.802
lysS	glnS	kleb	0.857
lysS	argS	kleb	0.872
lysS	metG	kleb	0.912
mrdB	leuS	kleb	0.482
mrdB	mrcA	kleb	0.649
mrdB	mtgA	kleb	0.692
mrdB	mrdA	kleb	0.994
mrdA	dacC	kleb	0.493
mrdA	mrcA	kleb	0.687
mrdA	mtgA	kleb	0.787
leuS	rplU	kleb	0.42
leuS	rplW	kleb	0.423
leuS	rplN	kleb	0.437
leuS	rplI	kleb	0.457
leuS	trpS	kleb	0.481
leuS	rpsP	kleb	0.485
leuS	rpmF	kleb	0.485
leuS	rplF	kleb	0.486
leuS	rplC	kleb	0.497
leuS	rpmA	kleb	0.504
leuS	rplP	kleb	0.511
leuS	fmt	kleb	0.536
leuS	rplR	kleb	0.537
leuS	rpsL	kleb	0.543
leuS	rpsM	kleb	0.553
leuS	rplD	kleb	0.582
leuS	rpsC	kleb	0.582
leuS	rpsH	kleb	0.59
leuS	rpsG	kleb	0.59
leuS	rpsQ	kleb	0.596
leuS	rplE	kleb	0.609
leuS	rpsJ	kleb	0.641
leuS	rpsK	kleb	0.679
leuS	pheS	kleb	0.688
leuS	rplV	kleb	0.688
leuS	hisS	kleb	0.688
leuS	rpsS	kleb	0.709
leuS	tyrS	kleb	0.712
leuS	thrS	kleb	0.729
leuS	aspS	kleb	0.754
leuS	rplB	kleb	0.818
leuS	alaS	kleb	0.873
leuS	glnS	kleb	0.877
leuS	argS	kleb	0.917
leuS	pheT	kleb	0.987
leuS	metG	kleb	0.993
glnS	rplY	kleb	0.419
glnS	thrS	kleb	0.43
glnS	hisS	kleb	0.445
glnS	trpS	kleb	0.531
glnS	tyrS	kleb	0.557
glnS	alaS	kleb	0.566
glnS	yfbG	kleb	0.667
glnS	aspS	kleb	0.69
glnS	pheT	kleb	0.772
glnS	argS	kleb	0.88
glnS	rpsL	kleb	0.887
glnS	rpsH	kleb	0.888
glnS	rpsG	kleb	0.889
glnS	rplP	kleb	0.893
glnS	rpsC	kleb	0.895
glnS	rpsS	kleb	0.895
glnS	rpsJ	kleb	0.896
glnS	rplD	kleb	0.896
glnS	rpsN	kleb	0.898
glnS	rpsM	kleb	0.898
glnS	rpsK	kleb	0.903
glnS	rpsQ	kleb	0.907
glnS	metG	kleb	0.912
glnS	rplB	kleb	0.914
glnS	rplC	kleb	0.914
glnS	rplE	kleb	0.918
glnS	rpmD	kleb	0.922
glnS	rpmC	kleb	0.922
glnS	rplN	kleb	0.928
glnS	rplX	kleb	0.941
glnS	rplV	kleb	0.95
glnS	rplF	kleb	0.954
glnS	rplR	kleb	0.955
glnS	rplW	kleb	0.96
moaB	moeA	kleb	0.949
moaB	moaC	kleb	0.995
moaB	moaE	kleb	0.995
moaC	moeA	kleb	0.959
moaC	moaE	kleb	0.999
moaE	moeA	kleb	0.987
moeA	rpsL	kleb	0.646
dacC	amiC	kleb	0.457
dacC	mtgA	kleb	0.64
dacC	mrcA	kleb	0.709
dacC	dacB	kleb	0.817
rpmF	argS	kleb	0.449
rpmF	hisS	kleb	0.475
rpmF	pheS	kleb	0.587
rpmF	aspS	kleb	0.64
rpmF	pheT	kleb	0.674
rpmF	yfbG	kleb	0.707
rpmF	metG	kleb	0.814
rpmF	thrS	kleb	0.85
rpmF	rplD	kleb	0.979
rpmF	rplE	kleb	0.981
rpmF	rplC	kleb	0.981
rpmF	rplP	kleb	0.983
rpmF	rpsJ	kleb	0.984
rpmF	rplV	kleb	0.984
rpmF	rplI	kleb	0.985
rpmF	rplR	kleb	0.985
rpmF	rplF	kleb	0.985
rpmF	rpsK	kleb	0.986
rpmF	rpsR	kleb	0.986
rpmF	rpsS	kleb	0.987
rpmF	rpmA	kleb	0.988
rpmF	rpsC	kleb	0.988
rpmF	rpsU	kleb	0.988
rpmF	rplW	kleb	0.988
rpmF	rpsN	kleb	0.988
