source	target	Especie	string_interaction_score
glyS	metG	pseu	0.409
glyS	pheS	pseu	0.415
glyS	tyrZ	pseu	0.416
glyS	rplW	pseu	0.418
glyS	rplF	pseu	0.421
glyS	rpsK	pseu	0.473
glyS	lysS	pseu	0.496
glyS	hisS	pseu	0.505
glyS	rplV	pseu	0.508
glyS	rpsG	pseu	0.514
glyS	rplD	pseu	0.528
glyS	rplA	pseu	0.54
glyS	glnS	pseu	0.556
glyS	rplQ	pseu	0.643
glyS	pheT	pseu	0.678
glyS	thrS	pseu	0.693
glyS	alaS	pseu	0.733
glyS	proS	pseu	0.777
glyS	aspS	pseu	0.785
glyS	leuS	pseu	0.848
glyS	glyQ	pseu	0.999
glyQ	lysS	pseu	0.4
glyQ	rplJ	pseu	0.406
glyQ	rpsK	pseu	0.42
glyQ	rpsL	pseu	0.459
glyQ	rplX	pseu	0.485
glyQ	fmt	pseu	0.521
glyQ	tyrZ	pseu	0.524
glyQ	thrS	pseu	0.53
glyQ	glnS	pseu	0.535
glyQ	rpsG	pseu	0.544
glyQ	proS	pseu	0.565
glyQ	leuS	pseu	0.588
glyQ	aspS	pseu	0.672
glyQ	alaS	pseu	0.7
glyQ	metG	pseu	0.717
glyQ	pheS	pseu	0.759
glyQ	pheT	pseu	0.802
glyQ	hisS	pseu	0.81
fmt	rplC	pseu	0.41
fmt	rpsB	pseu	0.432
fmt	rpsJ	pseu	0.483
fmt	rplA	pseu	0.497
fmt	pheS	pseu	0.587
fmt	leuS	pseu	0.623
fmt	pheT	pseu	0.785
fmt	folM	pseu	0.908
fmt	folA	pseu	0.937
fmt	metG	pseu	0.949
folA	arnA	pseu	0.432
folA	folX	pseu	0.483
folA	murB	pseu	0.587
folA	folM	pseu	0.982
mtgA	dacC	pseu	0.435
mtgA	bacA	pseu	0.47
mtgA	pbpC	pseu	0.597
mtgA	rodA	pseu	0.898
mtgA	pbpA	pseu	0.928
mexA	rpsL	pseu	0.591
mexA	PA4374	pseu	0.906
mexA	PA2019	pseu	0.918
mexA	PA4144	pseu	0.941
mexA	PA4375	pseu	0.964
mexA	PA2018	pseu	0.975
mexA	mexB	pseu	0.999
mexB	bacA	pseu	0.404
mexB	rpsL	pseu	0.778
mexB	PA2018	pseu	0.904
mexB	PA4375	pseu	0.915
mexB	PA4144	pseu	0.932
mexB	PA4374	pseu	0.954
mexB	PA2019	pseu	0.968
rpsU	metG	pseu	0.467
rpsU	rplA	pseu	0.818
rpsU	rpmJ2	pseu	0.9
rpsU	rpmE2	pseu	0.921
rpsU	rplL	pseu	0.939
rpsU	rplP	pseu	0.972
rpsU	rplE	pseu	0.973
rpsU	rplB	pseu	0.974
rpsU	rplR	pseu	0.974
rpsU	rplV	pseu	0.978
rpsU	rpmD	pseu	0.979
rpsU	rpsC	pseu	0.979
rpsU	rplX	pseu	0.979
rpsU	rpsQ	pseu	0.981
rpsU	rplF	pseu	0.982
rpsU	rplQ	pseu	0.982
rpsU	rplC	pseu	0.983
rpsU	rplJ	pseu	0.983
rpsU	rplD	pseu	0.985
rpsU	rpmC	pseu	0.985
rpsU	rpmJ	pseu	0.986
