ID	gene_name	Especie	KO	LFC	ortho_score	string_score	impact_score
NP_064728.1	glyS	pseu	K01879	0.06691749208640196	2	21	0.0366
NP_064729.1	glyQ	pseu	K01878	-0.2681390162750219	2	19	0.1363
NP_248708.1	fmt	pseu	K00604	0.07640738234511701	2	11	0.0271
NP_249041.1	folA	pseu	K00287	-0.11927784812221631	2	5	0.0285
NP_249069.1	PA0378	pseu	K03814	0.02328491354016471	2	0	0.0033
NP_249116.1	mexA	pseu	K03585	0.36640247435320106	8	7	0.4157
NP_249117.1	mexB	pseu	K18138	0.5229879669018658	7	8	0.5287
NP_249270.1	rpsU	pseu	K02970	-0.16509547342351816	2	35	0.1347
NP_249274.1	PA0583	pseu	K00950	-0.2734510453636787	2	4	0.0601
NP_249359.1	tyrZ	pseu	K01866	-0.19678509670800715	2	16	0.0887
NP_249457.1	mucD	pseu	K04771	0.46182454937430073	2	1	0.0749
NP_249594.1	alaS	pseu	K01872	-0.0006208723792813231	2	20	0.0003
NP_249647.1	proS	pseu	K01881	-0.1323276962095754	2	20	0.0698
NP_249654.1	aspS	pseu	K01876	-0.038002929103146954	2	38	0.0332
NP_249666.1	PA0975	pseu	K10026	-0.6307608956959694	3	0	0.1802
NP_249667.1	PA0976	pseu	K06920	-0.3878860989826336	2	0	0.0554
NP_249871.1	phoQ	pseu	K07637	0.48821649421906343	1	7	0.0657
NP_250365.1	folE2	pseu	K01495	0.0174805614519844	2	8	0.0052
NP_250449.1	pabB	pseu	K01665	-0.08190202289768322	2	1	0.0133
NP_250485.1	glnS	pseu	K01886	-0.01313698306928579	2	38	0.0115
NP_250649.1	bacA	pseu	K06153	-0.3062018035490386	2	6	0.0791
NP_250708.1	PA2018	pseu	K18138	0.43958127238104616	7	6	0.4275
NP_250709.1	PA2019	pseu	K03585	-0.059475104309038684	8	6	0.0663
NP_250962.1	pbpC	pseu	K03587	0.04692198430060124	3	5	0.0179
NP_251356.1	PA2666	pseu	K01737	-0.17147685052853312	2	8	0.0509
NP_251429.1	pheT	pseu	K01890	0.703988327532814	2	51	0.791
NP_251430.1	pheS	pseu	K01889	0.5412292221235457	2	43	0.5249
NP_251434.1	thrS	pseu	K01868	0.11968696930204814	3	41	0.1286
NP_251496.1	PA2806	pseu	K06879	-0.17448770160628335	2	0	0.0249
NP_251660.1	rpmF	pseu	K02911	0.6338762134412317	2	43	0.6147
NP_251667.1	murB	pseu	K00075	0.1590177000187314	2	7	0.0441
NP_251718.1	moeA2	pseu	K03750	0.41639410610422445	2	6	0.1075
NP_251719.1	moaB2	pseu	K03638	0.17239305792324267	1	6	0.0199
NP_251720.1	mobA	pseu	K03752	-0.2013196999499609	2	6	0.052
NP_251737.1	PA3047	pseu	K07259	0.16194547748262167	1	2	0.0062
NP_251894.1	PA3204	pseu	K07662	0.19823053772596388	1	1	0.0038
NP_251917.1	ppiA	pseu	K03767	0.28237412478068613	2	11	0.1001
NP_251986.1	phoA	pseu	K01077	-0.11441848579642411	1	4	0.0088
NP_252127.1	folM	pseu	K13938	-0.02857803939687109	1	4	0.0022
NP_252128.1	folE1	pseu	K01495	0.26430649370493065	2	9	0.0835
NP_252129.1	folX	pseu	K07589	0.1325526057808375	1	7	0.0178
NP_252172.1	metG	pseu	K01874	-0.0166440135313195	2	51	0.0187
NP_252242.1	arnB	pseu	K07806	0.3403801706887215	1	7	0.0458
NP_252243.1	arnC	pseu	K10012	0.4324668506551905	1	7	0.0582
NP_252244.1	arnA	pseu	K10011	0.5877123960748101	1	45	0.5086
NP_252245.1	arnD	pseu	K13014	0.6834458035963067	1	6	0.0789
NP_252246.1	arnT	pseu	K07264	0.6025162407031033	1	8	0.0927
NP_252247.1	arnE	pseu	K12962	0.7102889775107766	1	7	0.0956
NP_252248.1	arnF	pseu	K12963	0.7678370834390265	1	6	0.0886
NP_252290.1	PA3600	pseu	K02919	0.07049857382304303	3	0	0.0201
NP_252291.1	PA3601	pseu	K02909	-0.07371886102372649	4	0	0.0316
NP_252334.1	lpxA	pseu	K00677	0.07740010789133578	2	8	0.023
NP_252342.1	uppS	pseu	K00806	0.09271712815506739	2	12	0.0346
NP_252346.1	rpsB	pseu	K02967	0.5867631899839125	2	52	0.6706
NP_252390.1	lysS	pseu	K04567	-0.3591112760079511	3	43	0.3996
NP_252431.1	rplS	pseu	K02884	0.5960453104561676	2	40	0.5436
NP_252434.1	rpsP	pseu	K02959	-0.12662800886600323	2	41	0.1179
NP_252491.1	hisS	pseu	K01892	0.522498544101829	2	32	0.3962
NP_252603.1	moeA1	pseu	K03750	0.20505503640811362	2	6	0.053
NP_252604.1	moaB1	pseu	K03638	-0.2693703788118764	1	6	0.0311
NP_252605.1	moaE	pseu	K03635	0.28659313390686947	2	6	0.074
NP_252607.1	moaC	pseu	K03637	0.2772807377655866	1	6	0.032
NP_252676.1	leuS	pseu	K01869	-0.056697083144008786	3	42	0.062
NP_252688.1	dacC	pseu	K07258	0.495106693299995	5	5	0.3305
NP_252691.1	rodA	pseu	K05837	0.2689659406661793	2	7	0.0746
NP_252692.1	pbpA	pseu	K05515	-0.12752850563743756	3	7	0.0536
NP_252736.1	ribA	pseu	K01497	-0.1863809656376425	2	6	0.0481
NP_252827.1	tyrS	pseu	K01866	-0.7454941575952478	2	13	0.2929
NP_252833.1	PA4144	pseu	K12340	-0.03756217095178904	3	7	0.0158
NP_252890.1	ddlA	pseu	K01921	0.509029638769162	3	6	0.2042
NP_252927.1	rplQ	pseu	K02879	0.8270503871945927	2	41	0.7702
NP_252930.1	rpsK	pseu	K02948	0.7832005576120302	2	47	0.8198
NP_252931.1	rpsM	pseu	K02952	0.9101095209190113	2	45	0.9176
NP_252932.1	rpmJ	pseu	K02919	0.9528448245620247	3	39	0.9869
NP_252935.1	rpmD	pseu	K02907	0.5014572420640437	2	42	0.4767
NP_252937.1	rplR	pseu	K02881	0.48419102171856565	2	43	0.4696
NP_252938.1	rplF	pseu	K02933	0.3922081050432027	2	45	0.3954
NP_252939.1	rpsH	pseu	K02994	0.4541837010247729	2	44	0.4492
