ID	gene_name	Especie	KO	LFC	ortho_score	string_score	impact_score
WP_002886682.1	rplI	kleb	K02939	1.708362435169823	2	47	1.7881
WP_000135199.1	rpsR	kleb	K02963	1.891218450496205	2	37	1.6158
WP_002885691.1	rpsF	kleb	K02990	1.9798842289717822	2	45	1.9962
WP_025862024.1	trpS	kleb	K01867	-1.2768489786693245	2	9	0.4034
WP_002888320.1	folA	kleb	K00287	2.0560412552538683	2	5	0.4914
WP_004147071.1	murE	kleb	K01928	2.1710067999768605	2	14	0.8946
WP_004147073.1	murF	kleb	K01929	3.1327208575846894	2	15	1.3512
WP_002888562.1	mraY	kleb	K01000	2.1296055224064263	3	12	1.0999
WP_004147075.1	murD	kleb	K01925	1.5293002836014304	2	15	0.6596
WP_002888565.1	ftsW	kleb	K03588	-2.9393661867382352	2	11	1.0417
WP_002888566.1	murG	kleb	K02563	1.338424800547232	2	18	0.6545
WP_021467518.1	folK	kleb	K00950	2.9146936076022065	3	7	1.2251
WP_004147127.1	mrcB	kleb	K05365	3.2239070341632887	2	14	1.3285
WP_004177363.1	degP	kleb	K04771	1.3022968652028393	2	9	0.4114
WP_002889299.1	rpsB	kleb	K02967	2.6219683571309016	2	50	2.8957
WP_002889316.1	ispU	kleb	K00806	1.4161255804117099	2	0	0.2023
WP_004178647.1	lpxA	kleb	K00677	1.280181111558302	2	6	0.3306
WP_004147169.1	proS	kleb	K01881	3.2329287934905393	2	13	1.2701
WP_004151348.1	ddlA	kleb	K01921	2.1307724742595875	3	0	0.6088
WP_004147286.1	phoA	kleb	K01077	1.3401162151306005	1	4	0.1031
WP_002891863.1	queC	kleb	K06920	2.0654657376011683	2	0	0.2951
WP_002892018.1	ykgO	kleb	K02919	3.2425692591575612	3	0	0.9264
WP_004147373.1	acrB	kleb	K18138	-1.1535424624974127	6	2	0.8683
WP_004147376.1	acrA	kleb	K03585	1.1500926080887082	8	2	1.1943
WP_002892491.1	lysS	kleb	K04567	2.5055992793147577	2	35	2.0444
WP_002894613.1	mrdB	kleb	K05837	1.762645065358175	2	12	0.6586
WP_002894617.1	mrdA	kleb	K05515	1.5475481558491433	2	11	0.5484
WP_004147581.1	leuS	kleb	K01869	2.8428760960293413	3	40	2.9991
WP_002894753.1	glnS	kleb	K01886	1.8198105395457662	2	38	1.5898
WP_002895668.1	moaB	kleb	K03638	-1.1775574922361383	2	3	0.2362
WP_002895670.1	moaC	kleb	K03637	-2.216522867108953	1	3	0.1279
WP_002895674.1	moaE	kleb	K03635	2.870162074286526	2	3	0.5756
WP_004147723.1	moeA	kleb	K03750	1.168176227067705	3	4	0.4236
WP_004893232.1	dacC	kleb	K07258	1.433898778195223	3	7	0.6027
WP_000290724.1	rpmF	kleb	K02911	1.74942594271465	2	44	1.7302
WP_004147969.1	phoQ	kleb	K07637	2.1712110276212675	1	5	0.2088
WP_002901778.1	ribA	kleb	K01497	-1.1597537528558872	2	4	0.2549
WP_015874751.1	folM	kleb	K13938	-1.5283208335737186	1	0	0.0
WP_025861974.1	mrdA	kleb	K05515	1.5475481558491433	2	11	0.5484
WP_002907740.1	tyrS	kleb	K01866	1.0457783430788359	3	22	0.7412
WP_002909101.1	pheT	kleb	K01890	1.5609652585905671	2	52	1.784
WP_002909105.1	pheS	kleb	K01889	1.3286861067595952	2	39	1.1863
WP_002910026.1	thrS	kleb	K01868	1.35123059116557	2	39	1.2065
WP_004189289.1	pabB	kleb	K01665	1.2662210676426664	2	3	0.2539
WP_004148834.1	ftsI	kleb	K03587	2.3674039204750317	3	14	1.3138
WP_002911479.1	aspS	kleb	K01876	2.1402669710288764	2	30	1.5405
WP_004148863.1	argS	kleb	K01887	2.749478379628642	1	35	1.8506
WP_004150566.1	thrS	kleb	K01868	1.35123059116557	2	39	1.2065
WP_000020322.1	folE2	kleb	K09007	1.0851828769341418	1	0	0.0
WP_025861203.1	mtgA	kleb	K03814	1.381017986192207	2	13	0.5425
WP_002918379.1	rplU	kleb	K02888	1.3161192203408199	2	45	1.327
WP_002434222.1	rpmA	kleb	K02899	2.9298800701114844	2	40	2.6723
WP_004149937.1	dacB	kleb	K07259	1.3524984750534497	1	3	0.078
WP_004149935.1	folP	kleb	K00796	1.076354902253387	2	12	0.4022
WP_001144069.1	rpsU	kleb	K02970	1.8811760640520232	2	36	1.5711
WP_004144532.1	bacA	kleb	K06153	1.122520841723011	2	0	0.1604
WP_032443945.1	tolC	kleb	K12340	1.6919160646543148	5	3	1.0644
WP_002916299.1	lysS	kleb	K04567	2.5055992793147577	2	35	2.0444
WP_004174538.1	amiC	kleb	K01448	2.2140607226847004	2	3	0.444
WP_025861016.1	queF	kleb	K06879	2.4430528003274707	2	0	0.349
WP_025861022.1	queE	kleb	K10026	1.7781835653043787	3	0	0.5081
WP_004174641.1	queD	kleb	K01737	1.6735267772072548	2	0	0.2391
WP_032443961.1	alaS	kleb	K01872	1.3179328300535849	2	16	0.5938
WP_002914149.1	rpsP	kleb	K02959	1.7489084427419161	2	43	1.6961
WP_002914145.1	rplS	kleb	K02884	1.7842691359237777	2	40	1.6274
WP_004149335.1	hisS	kleb	K01892	1.6769843934202893	2	22	0.9491
WP_002913200.1	folX	kleb	K07589	1.1285226680663794	1	5	0.1085
WP_002912979.1	rplY	kleb	K02897	2.2592319344674525	2	38	1.9737
WP_002912924.1	folE	kleb	K01495	3.2813413627211583	3	9	1.5055
WP_025862117.1	metG	kleb	K01874	1.0274367844949124	2	48	1.0952
WP_004150007.1	fmt	kleb	K00604	1.7505518568022485	2	15	0.755
WP_002919206.1	rplQ	kleb	K02879	2.1119910700304985	2	39	1.8857
WP_002919257.1	rpsK	kleb	K02948	1.5995609765961643	2	46	1.6435
WP_002919259.1	rpsM	kleb	K02952	1.085926549202144	2	45	1.0949
WP_001140434.1	rpmD	kleb	K02907	2.196466349118216	2	40	2.0034
WP_000358960.1	rplR	kleb	K02881	1.7234692127512847	2	42	1.6382
WP_002919662.1	rplF	kleb	K02933	1.381215385098507	2	45	1.3926
WP_002919665.1	rpsH	kleb	K02994	2.0276006031902245	2	44	2.0053
WP_002919667.1	rpsN	kleb	K02954	1.8068551910248907	2	40	1.648
WP_001096200.1	rplE	kleb	K02931	1.5237735815595652	2	43	1.4777
WP_000729185.1	rplX	kleb	K02895	0.5396939380342012	2	41	0.5026
WP_002919748.1	rplN	kleb	K02874	1.236209558364763	2	46	1.2702
WP_002919751.1	rpsQ	kleb	K02961	0.5155269725804157	2	45	0.5198
WP_002919754.1	rpmC	kleb	K02904	-0.08776418324345059	2	38	0.0767
WP_002919759.1	rplP	kleb	K02878	0.8024864625475381	2	40	0.7319
WP_002919766.1	rpsC	kleb	K02982	1.2802492213224124	2	48	1.3647
WP_002919773.1	rplV	kleb	K02890	0.36127976786248084	2	42	0.3434
WP_001138115.1	rpsS	kleb	K02965	1.8005711589968847	1	41	1.4197
WP_002919786.1	rplB	kleb	K02886	2.0903468117541646	2	46	2.1478
WP_000617546.1	rplW	kleb	K02892	2.0886314530954895	2	45	2.1058
WP_002919794.1	rplD	kleb	K02926	2.372756671601781	2	43	2.3011
WP_002919796.1	rplC	kleb	K02906	1.8160950723729261	2	46	1.866
WP_001181005.1	rpsJ	kleb	K02946	1.9956798704524932	2	43	1.9354
WP_002920113.1	rpsG	kleb	K02992	1.4823058446679305	2	45	1.4945
WP_002920115.1	rpsL	kleb	K02950	1.45088206405803	2	48	1.5465
WP_002920238.1	ppiA	kleb	K03767	2.1476196164731682	2	14	0.885
WP_002920253.1	trpS	kleb	K01867	-1.2768489786693245	2	9	0.4034
WP_004150051.1	mrcA	kleb	K05366	2.231657626643094	3	10	1.0668
WP_002920863.1	arnF	kleb	K12963	2.417660247056624	1	0	0.0
WP_002920864.1	arnE	kleb	K12962	1.8177242093885386	1	0	0.0
WP_021469880.1	arnT	kleb	K07264	2.6342823647586737	1	8	0.4053
WP_004188275.1	arnD	kleb	K13014	3.901209569195946	1	0	0.0
WP_004150093.1	arnA	kleb	K10011	3.275643490448493	1	0	0.0
WP_002921035.1	arnC	kleb	K10012	2.915837629206714	1	0	0.0
WP_002921037.1	arnB	kleb	K07806	2.5749150262473535	1	0	0.0
WP_004150153.1	glyS	kleb	K01879	2.3439180353159905	2	2	0.425
WP_002922128.1	glyQ	kleb	K01878	3.128874144420222	2	3	0.6275
WP_004186109.1	selA	kleb	K01042	4.6020628748235355	1	0	0.0
WP_000091955.1	rpmB	kleb	K02902	1.9416135832748793	2	5	0.4641
WP_004150241.1	eefA	kleb	K03585	2.7940879193716124	8	0	2.7941
WP_004150242.1	eefB	kleb	K18138	2.7053276270867963	6	0	1.9324
WP_000831330.1	rpmH	kleb	K02914	1.2463000841839378	2	5	0.2979
WP_004178039.1	mobA	kleb	K03752	2.6363330196214827	2	1	0.4273
WP_004146224.1	dsbA	kleb	K03673	2.3394546976204804	2	1	0.3792
WP_002882901.1	cpxR	kleb	K07662	1.36691911925272	1	0	0.0
WP_002882922.1	rpmE	kleb	K02909	2.2856618965940685	4	5	1.1993
WP_002884142.1	rplL	kleb	K02935	1.1492502817521988	2	5	0.2747
WP_025862008.1	rplJ	kleb	K02864	1.8885902337910156	2	6	0.4877
WP_002884036.1	rplA	kleb	K02863	2.8291078332168436	2	7	0.785
WP_004873277.1	murB	kleb	K00075	1.090210366662431	2	0	0.1557
WP_004150724.1	folE2	kleb	K09007	1.0851828769341418	1	0	0.0
